Company Name,Company Street,Postal Code,City,C/O,Last Name,First Name,Linkedin Profile
Danho Bauingenieur & Planung GmbH,Im Schründler 21,8352,Elsau,,Danho,Konstantin,
DANI Gartenunterhalt Berbatovci,Opfikonerstrasse 63,8304,Wallisellen,,Berbatovci,Ramadan,
Dani Smart Home & IT,Bernhofstrasse 52,8134,Adliswil,,Dani,Melsigen,
DataFlow Consulting GmbH,Rebbergstrasse 10,8157,Dielsdorf,,Derron,Philippe,
DAVINGI AG,Guldisloostrasse 31,8620,Wetzikon ZH,,Gliottone,Dario,
DDLD by Demi,Bahnhofstrasse 22,8942,Oberrieden,,Demi,Beslind,
DDM quality Stankovic,Grafschaftstrasse 38,8172,Niederglatt ZH,,Stankovic,Dragana,
Dellentechnik Müller,Schürmattstrasse 3a,8913,Ottenbach,,Müller,Andreas,
Digital Thinktank GmbH,Zellwegerweg 4,8610,Uster,,Munoz Zurdo,Angel Jose,
Digital Thinktank GmbH,Zellwegerweg 4,8610,Uster,,Munoz Zurdo,Jose Carlos,
Dijara GmbH,Im Zentrum 18,8604,Volketswil,,Kabashi,Sakip,
DISA Baumanagement AG,Hardstrasse 14,8604,Volketswil,,Bytyqi,Sherif,
DISA Baumanagement AG,Hardstrasse 14,8604,Volketswil,,Bytyqi,Jetesa,
Dominic Iseli,Zürichstrasse 37,8600,Dübendorf,,Iseli,Dominic,
EK Group GmbH,Burstwiesenstrasse 18,8606,Greifensee,c/o Erand Krivaqa,Krivaqa,Erand,
Elena Rybasova,Mühlehaldenstrasse 42a,8953,Dietikon,,Rybasova,Elena,
ELS Engineering GmbH,Schöneggstrasse 13,8953,Dietikon,,Lecaj,Lulzim,
E-Motors Dittmar,Schaffhauserstrasse 333,8050,Zürich,,Dittmar,Tristan,
Éternel Prestige by Anis Lutz,Lerchenstrasse 23,8045,Zürich,,Lutz,Anis,
Facility Korqaj,Bachtelstrasse 5,8307,Effretikon,,Korqaj,Bekim,
Felix Reinhardt Steuer- und Vermögensberatung GmbH,Sternenstrasse 11,8002,Zürich,,Reinhardt,Felix,
FlexMove GmbH,Eichtalstrasse 56,8634,Hombrechtikon,,Abazi,Dion Leis,
form follows coffee gmbh,Zur Station 2,8475,Ossingen,,Krott,Meike,
fotoshooter.ch by Aaron Nufer,Schlossmühlestrasse 272,8408,Winterthur,c/o Aaron Nufer,Nufer,Aaron,
"Frauenpraxis Fluntern, Dr. med. Gesine Meili",Zürichbergstrasse 70,8044,Zürich,,Meili,Gesine Merja,
friends of the 750 mineral springs of Greece,Fritschistrasse 11,8003,Zürich,c/o Vanessa Billy,Billy Porritt,Vanessa,
Galax E - Motors Kryeziu,Badenerstrasse 23,8952,Schlieren,,Kryeziu,Ylli,
Gärten Armin Hollenstein AG,Werk-Str. 7,8627,Grüningen,,Hollenstein,Armin,
Gator Gym Wear Sutter,Tösstalstrasse 124,8623,Wetzikon ZH,,Sutter,Flavio,
Gattoni Growth Solutions,Haldenstrasse 120,8055,Zürich,,Gattoni,Sara,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Krebs,Samuel,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Hengstler,Silvia,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Huber,Ilona,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Krebs-Waser,Erika,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Meier,Linus,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Schneider,Conrad,
"Genossenschaft Pöstli, Adlikon",Haldenweg 1,8452,Adlikon b. Andelfingen,c/o Samuel Krebs,Süsstrunk,Gabriela,
Gerber Facility Services GmbH,St. Gallerstrasse 182,8404,Winterthur,,Kasumi,Lulzim,
Gerber Facility Services GmbH,St. Gallerstrasse 182,8404,Winterthur,,Ljimanov,Ariton,
Golden Vision Stefanova,Bahnhofstrasse 7,8636,Wald ZH,c/o Penka Stefanova,Stefanova,Penka,
Golden Vision Stefanova,Bahnhofstrasse 7,8636,Wald ZH,c/o Penka Stefanova,Dzhambazov,Atanas,
Greatness Retreats GmbH,Hohlstrasse 486,8048,Zürich,c/o Lucas Jamar,Jamar,Lucas André P,
GREENCLEAN ANA MARIA MATOS POMBINHO AFONSO,Dorfstrasse 29,8155,Niederhasli,,Matos Pombinho Afonso,Ana Maria,
Gribi Finance GmbH,Stelzenackerstrasse 11,8953,Dietikon,,Gribi,Marco,
Halbkreis Verlag - Tribol,Obergasse 19,8400,Winterthur,,Tribol,Daniel József,
Hands On Therapie - Jan Clausen,Ringstrasse 20,8600,Dübendorf,,Clausen,Jan,
Happiness Coaching Eigenmann,General-Wille-Strasse 113,8706,Meilen,,Eigenmann,Anya-Anastassia,
Harald Bücking Bauüberwachung,Hagenholzstrasse 81a,8050,Zürich,,Bücking,Harald,
Hertig Sanitär AG,Tafletenstrasse 6,8608,Bubikon,,Hertig,Silvan Christoph,
Hertig Sanitär AG,Tafletenstrasse 6,8608,Bubikon,,Hertig,Johanna Magdalena,
Herzpraxis Enge AG,Bleicherweg 47,8002,Zürich,,Marzan,Alessandro,
Herzpraxis Enge AG,Bleicherweg 47,8002,Zürich,,Richle,Martina,
hippoteach Maia Bachmann,Am Bächli 18,8805,Richterswil,,Bachmann,Maia Katrin,
Horizon Nexus Ventures GmbH,Neubruchstrasse 9,8406,Winterthur,,Fonseca Neves,Gabriel,
Hundeschule Wolfschool Rettenhaber,Im Berg 10,8320,Fehraltorf,,Rettenhaber,Franziska,
"ILI Gartenbau, Inh. Osmani",Oberlandstrasse 85,8610,Uster,,Osmani,Ibadete,
IT-Universum Ussow,Kirchplatz 3,8953,Dietikon,c/o Michail Ussow,Ussow,Michail,
Johansson Massage,Manessestrasse 120,8045,Zürich,c/o Templeshape GmbH,Johansson,Daniel,
J. Stucki Personentransporte,Adlerstrasse 8,8400,Winterthur,,Stucki,Jörg,
Judith Juliana Krüttli,Bachtobelstrasse 94,8045,Zürich,,Krüttli,Judith Juliana,
Kandes GmbH,Im Unterrengg 19,8135,Langnau am Albis,,Angelov,Petar Angelov,
Koloring AG,Welbrigstrasse 26b,8954,Geroldswil,,Kneubühler,Daniel,
Koloring AG,Welbrigstrasse 26b,8954,Geroldswil,,Kneubühler,Astrid,
Köstli Racing,Nörgelbach 26,8493,Saland,,Köstli,Sebastian Christian,
"Kuehn Malvezzi Projects GmbH, Berlin, Zweigniederlassung Zürich",Technoparkstrasse 1,8005,Zürich,c/o BGA Budelmann Gernet Architekten AG,Budelmann,Hannes Werner,
LASAMotion GmbH,Bliggenswilerstrasse 12,8494,Bauma,,Schmid,Lukas,
"LAXDAL, PSYCHOLOGISCHE PRAXIS",Schwarzackerstrasse 14,8304,Wallisellen,,Laxdal,Katerina,
Link 42 GmbH,Birmensdorferstrasse 240,8003,Zürich,,Stanic,Mirko,
Loher Baumanagement und Immobilien GmbH,Schründlerweg 7,8352,Elsau,,Loher,Adrian Heinrich Gotthard,
Lorenz Hilty Wissenschaftskommunikation,Klingentalgraben 5,4057,Basel,,Hilty,Lorenz Manuel,
Lorenz Productions Limited,Saumstrasse 8,8003,Zürich,,Lorenz,Gerald,
Lovlittle Hoyos,Susenbergstrasse 96,8044,Zürich,,Hoyos,Lidya Josefa,
Lovlittle Hoyos,Susenbergstrasse 96,8044,Zürich,,Hoyos,Valentin Libor,
Malerhandwerk Anhalt,Untermosenstrasse 58,8820,Wädenswil,,Anhalt,Oliver,
Marta Lago Arenas,Etzelstrasse 55,8038,Zürich,,Lago Arenas,Marta,
Massage Naturheilpraxis Katy Jankovic,Schweigmatt 34,8055,Zürich,,Jankovic,Katarina,
MHG Immobilien AG,Kehlhofstrasse 47,8542,Wiesendangen,,Gashi,Metë,
Miarsa Speciality Coffee J. Aeberli Kusmiarsa,Güpfstrasse 16,8908,Hedingen,,Aeberli Kusmiarsa,Jaqueline Julie,
Miarsa Speciality Coffee J. Aeberli Kusmiarsa,Güpfstrasse 16,8908,Hedingen,,Kusmiarsa,Komang Abraham,
Michele Volpe,Im Feld 18,8180,Bülach,,Volpe,Michele,
Mirage Garage GmbH,Im Schörli 23,8600,Dübendorf,,Mallah,Ali,
M&M Medizinischer Schreibservice GmbH,Zürichstrasse 23,8185,Winkel,c/o Brigitte Maier,Maier,Brigitte,
M&M Medizinischer Schreibservice GmbH,Zürichstrasse 23,8185,Winkel,c/o Brigitte Maier,Markovic,Dara,
moin GmbH,Schwamendingenstrasse 24,8050,Zürich,,Hunte,Andreas,
Mouneh AG,Hermetschloostrasse 77,8048,Zürich,,Zarro,Dario,
Mouneh AG,Hermetschloostrasse 77,8048,Zürich,,Zarro,Cinzia,
Mouneh AG,Hermetschloostrasse 77,8048,Zürich,,Doris Graf Treuhand (CHE-318.044.978),,
Munchfit by Frey,Bungertweg 8,8155,Niederhasli,c/o Ann-Noëlle Frey,Frey,Ann-Noëlle,
MUSLIU Coiffeursalon,Vortauenstrasse 5,8108,Dällikon,,Musliu,Zejno,
Naturella / M. Kovacs,Stauffacherstrasse 102,8004,Zürich,,Kovacs,Mirjana,
Naturstein N.Foniqi,Rietgrabenstrasse 66,8152,Opfikon,,Foniqi,Naim,
Neue Wurzeln Hussaini,Meierhofstrasse 3a,8820,Wädenswil,,Hussaini,Amir,
Nexconsult AG,Grabenwisstrasse 3,8604,Volketswil,,Grünig,Ingrid,
N.N.N. KAROSHI,Zelgweg 11,8135,Langnau am Albis,c/o Rolant Karoshi,Karoshi,Rolant,
Oberti Kaminfegermeister GmbH,Lochacker 1,8340,Hinwil,,Oberti,Stefano,
"OZL Offenes Zolllager in Liechtenstein AG, Triesen, Zweigniederlassung Bassersdorf",Grindelstrasse 9,8303,Bassersdorf,c/o Edelmetalllager Schweiz AG,Gottlieb,Helmut,
"OZL Offenes Zolllager in Liechtenstein AG, Triesen, Zweigniederlassung Bassersdorf",Grindelstrasse 9,8303,Bassersdorf,c/o Edelmetalllager Schweiz AG,Plath,Philip,
Peonkun GmbH,Knechtacherstrasse 16,8630,Rüti ZH,,Plonski,Christopher,
Pezo Sommerfeld Living Arts,Leutschenbachstrasse 95,8050,Zürich,,Pezo Sommerfeld,Suzana,
PF-Sports GmbH,Alte Buchserstrasse 5,8108,Dällikon,,Forster,Peter,
PF-Sports GmbH,Alte Buchserstrasse 5,8108,Dällikon,,Forster-Koblet,Jasmin Samira,
PodoHeime AG,Würglenstrasse 36a,8307,Effretikon,,Gubser,Angela,
PodoHeime AG,Würglenstrasse 36a,8307,Effretikon,,Gubser,Daniel,
PodoHeime AG,Würglenstrasse 36a,8307,Effretikon,,Gantner,Alexandra,
"Primarschulbox, Inh. Dr. Julia Frederike Dutkowski",Schindlerstrasse 26,8006,Zürich,,Dutkowski,Dr. Julia Frederike,
Projekte DB GmbH,Herrengütlistrasse 11a,8304,Wallisellen,,Kukic,Dejan,
Quality Principles GmbH,Hinteracherweg 1,8303,Bassersdorf,,Asch,Thomas Oliver,
Questline KLG,Am Stadtrand 13,8600,Dübendorf,c/o Luca Huber,Huber,Luca,
Questline KLG,Am Stadtrand 13,8600,Dübendorf,c/o Luca Huber,Sievi,Roman,
R2 Management Roger Rüegg,Tössstrasse 6a,8413,Neftenbach,,Rüegg,Roger,
R2 Management Roger Rüegg,Tössstrasse 6a,8413,Neftenbach,,Rüegg,Simone,
Radar Bar Pfister,Schöneggstrasse 34,8004,Zürich,,Pfister,David,
Rafael Alarcón Aguilar - Dolmetscher & Übersetzer,Birmensdorferstrasse 543,8055,Zürich,c/o Rafael Alarcón Aguilar,Alarcón Aguilar,Rafael,
Redienst - Erdogan,Lerzenstrasse 8,8953,Dietikon,,Erdogan,Güngör,
Remedium Massage Sajti,Grampenweg 7,8180,Bülach,c/o Zsuzsanna Sajti,Sajti,Zsuzsanna,
Renovation Kosic,Binzmühlestrasse 45,8050,Zürich,,Kosic,Miloje,
RJ-Gyni AG,Chapfweg 14,8126,Zumikon,,Borghol Baki,Dyana,
Roba Klimatechnik AG,Bernstrasse 388,8953,Dietikon,,Baumgartner,Ron,
Rockin' Lemons GmbH,Konradstrasse 36,8005,Zürich,c/o Stojna Stojkova,Limon De Jesus,Gianluca,
Rockin' Lemons GmbH,Konradstrasse 36,8005,Zürich,c/o Stojna Stojkova,Limon De Jesus,Lidia,
Roduner - DS,Obermattstrasse 48,8805,Richterswil,,Roduner,Colin,
"Rosa Domizil-Physiotherapie, Inh. Mendes Brito Rosa",Zwirnereistrasse 21,8304,Wallisellen,c/o M. B. Rosa,Mendes Brito Rosa,Margarida,
"Rössli Ristorante la Perla, Inh. Cricri",Steiggasse 1,8400,Winterthur,,Cricri,Antonio,
"Rössli Ristorante la Perla, Inh. Cricri",Steiggasse 1,8400,Winterthur,,Tonello,Marika,
RT-SECURITY GmbH,Wehntalerstrasse 14,8162,Steinmaur,,Tumma,Ronny,
Rüegg Burkhardt KLG,Schulhausstrasse 15,8618,Oetwil am See,c/o Pascal Burkhardt,Burkhardt,Pascal,
Rüegg Burkhardt KLG,Schulhausstrasse 15,8618,Oetwil am See,c/o Pascal Burkhardt,Rüegg,Filip,
rumor filmkollektiv GmbH,Anwandstrasse 9,8004,Zürich,c/o Fabiana Seitz,Seitz,Fabiana Julia,
rumor filmkollektiv GmbH,Anwandstrasse 9,8004,Zürich,c/o Fabiana Seitz,Burla,Stephanie,
rumor filmkollektiv GmbH,Anwandstrasse 9,8004,Zürich,c/o Fabiana Seitz,Imeri,Dorentina,
rumor filmkollektiv GmbH,Anwandstrasse 9,8004,Zürich,c/o Fabiana Seitz,Farkas,Corina Nadine,
Sabrina Bätscher GmbH,Schweighofstrasse 401,8055,Zürich,c/o Sabrina Bätscher,Bätscher,Sabrina,
Sabrina Bätscher GmbH,Schweighofstrasse 401,8055,Zürich,c/o Sabrina Bätscher,Bätscher,Bernadette Helena,
Sabrina Bätscher GmbH,Schweighofstrasse 401,8055,Zürich,c/o Sabrina Bätscher,Bätscher,Fredy,
Saiti Coiffeur,Breitistrasse 24,8302,Kloten,,Saiti,Iljber,
"Samadi Martin, Samadi Technik",Gewerbestrasse 3,8708,Männedorf,c/o Abdul Matin Samadi,Samadi,Abdul Matin,
"Samadi Martin, Samadi Technik",Gewerbestrasse 3,8708,Männedorf,c/o Abdul Matin Samadi,Samadi,Morsal,
Sanierungs Profi Guttenberger Zürichsee,Seestrasse 38,8810,Horgen,c/o Amos Guttenberger,Guttenberger,Amos,
Schiegg Photography,Dorfstrasse 151,8954,Geroldswil,,Schiegg,Severin,
Seneli by Elik,Allmendstrasse 5,8952,Schlieren,,Elik,Tayyip Taha,
Sengo & Partners KLG,Schlossmühlestrasse 11,8408,Winterthur,,Milovanovic,Kristijan,
Sengo & Partners KLG,Schlossmühlestrasse 11,8408,Winterthur,,Savic,Nikola,
Sergej Bobusky,Püntenstrasse 27,8143,Stallikon,,Bobusky,Sergej,
Siluta Consulting,Riedgarten 2,8600,Dübendorf,,Siluta,Artur,
Simply JR GmbH,Bolleystrasse 9,8006,Zürich,c/o Richard Rengasamy,Rengasamy,Richard,
Simply JR GmbH,Bolleystrasse 9,8006,Zürich,c/o Richard Rengasamy,Munt,James,
Sisu Grip Schweiz GmbH,Eichbühlstrasse 53,8004,Zürich,c/o Antti und Stefanie Rahikka,Rahikka,Antti Tapani,
Sisu Grip Schweiz GmbH,Eichbühlstrasse 53,8004,Zürich,c/o Antti und Stefanie Rahikka,Rahikka-Fehr,Stefanie Isabelle,
Smallbatch Coffee Daniel Stöcklin,Giessenplatz 5,8600,Dübendorf,,Stöcklin,Daniel,
S. Meuli online-marketing service,Holzgasse 10,8942,Oberrieden,c/o Shantala Meuli,Meuli,Shantala Geneviève Neeta,
Soasana GmbH,Schweighofstrasse 360,8055,Zürich,,Kranz,Timo,
Solabs Nanotechnology GmbH,Höhenstrasse 8,8303,Bassersdorf,c/o Iwan Gabriel Hächler,Hächler,Iwan Gabriel,
Solabs Nanotechnology GmbH,Höhenstrasse 8,8303,Bassersdorf,c/o Iwan Gabriel Hächler,Hartmann,Florian,
Solabs Nanotechnology GmbH,Höhenstrasse 8,8303,Bassersdorf,c/o Iwan Gabriel Hächler,Bagnoud,Fabrice,
Solabs Nanotechnology GmbH,Höhenstrasse 8,8303,Bassersdorf,c/o Iwan Gabriel Hächler,Rupp,Patric,
Solabs Nanotechnology GmbH,Höhenstrasse 8,8303,Bassersdorf,c/o Iwan Gabriel Hächler,Dimosthenis,Poulikakos,
Sozialspezialisten GmbH,Stationsstrasse 55,8606,Nänikon,,Sybille,Ryser,
Sozialspezialisten GmbH,Stationsstrasse 55,8606,Nänikon,,Galeano,Vanessa,
Star Global Solution AG,Rieterstrasse 49,8002,Zürich,,Shariif Sayid,Maxamed,
Star Global Solution AG,Rieterstrasse 49,8002,Zürich,,Sharifmohamed Bakat,Farhia,
Studio Shantikara Valuska,Auwiesenstrasse 82,8050,Zürich,c/o Tamás Valuska,Valuska,Tamás,
StyleA GmbH,Brandschenkestrasse 174,8002,Zürich,,Schijveschuurder,Lea,
StyleA GmbH,Brandschenkestrasse 174,8002,Zürich,,Schijveschuurder,Reoeween Elchanan,
Swiss Auto Cosmetic & Care Kadic,Tannenrauchstrasse 58,8038,Zürich,c/o Faid Kadic,Kadic,Faid,
Swiss Cokluk Transporte,Bahnstrasse 102,8105,Regensdorf,,Cokluk,Cigdem,
Swiss-Deco GmbH,Maienbrunnenstrasse 5,8908,Hedingen,,Arter,Yves Marco,
Swiss Premium Driver GmbH,Lindengartenstrasse 7,8302,Kloten,,Heidelberger,Stephanie,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Pichler,Renato,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Eberhard,Marco,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Probst,Beat,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Hilfiker,Andrea,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Consultive Revisions AG (CHE-105.253.715),,
Swissveg,Niederfeldstrasse 92,8408,Winterthur,,Bohnet,Marcel,
Tahir Taxi GmbH,Jungholzstrasse 29,8050,Zürich,c/o Muhammad Irfan Tahir,Tahir,Muhammad Irfan,
TB-Netzbau AG,Im Nippel 8,8180,Bülach,,Berisha,Misin,
Terrassen-Reinigung.ch - Marco Gloor,Hirzenbachstrasse 84,8051,Zürich,,Gloor,Marco,
tijaro ag,Rietweg 6a,8606,Nänikon,,Schneider,Michael,
Tin Karadža - The Art Cloud,Im Grüntal 19,8405,Winterthur,c/o Tin Karadža,KaradŠ¾a,Tin,
Transporation GmbH,Bodenackerstrasse 18,8112,Otelfingen,,Felder,Roland,
Umara Consulting Guebene Nfula,Sulzerallee 76,8404,Winterthur,,Nfula,Guebene,
Verein Guatemala-Zentralamerika,Schützenstrasse 14,8702,Zollikon,c/o Martin Frey,Frey,Martin,
Verein Guatemala-Zentralamerika,Schützenstrasse 14,8702,Zollikon,c/o Martin Frey,Egloff,Sandra Shareny,
Verein Guatemala-Zentralamerika,Schützenstrasse 14,8702,Zollikon,c/o Martin Frey,Gut,Esther Annette,
Verein Guatemala-Zentralamerika,Schützenstrasse 14,8702,Zollikon,c/o Martin Frey,Müller-Zurkirchen,Rita,
Verein Guatemala-Zentralamerika,Schützenstrasse 14,8702,Zollikon,c/o Martin Frey,Robertson,Stuart,
Vescio Design GmbH,Nürenbergstrasse 15,8037,Zürich,,Vescio,Carlo,
VF-Squared GmbH,Hegnaustrasse 19,8602,Wangen b. Dübendorf,,Vaslin-de Crevoisier d'Hurbache,Valentine Marie Nicole,
VF-Squared GmbH,Hegnaustrasse 19,8602,Wangen b. Dübendorf,,Vaslin,Anthony Guillaume,
vinophoria sollberger,Betschürenstrasse 56,8625,Gossau ZH,,Sollberger,Thomas,
Wallis bei dir Imsand,Seeblickstrasse 12,8038,Zürich,,Imsand,Loïc,
WebUnited GmbH,Seefeldstrasse 224,8008,Zürich,,Freename AG (CHE-295.377.562),,
WebUnited GmbH,Seefeldstrasse 224,8008,Zürich,,Vicini,Davide,
Werk & Wald GmbH,Rebhofstrasse 6,8451,Kleinandelfingen,,Hirtreiter,Marcel,
Werk & Wald GmbH,Rebhofstrasse 6,8451,Kleinandelfingen,,Grob,Patrick Pius,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Kneissler,Thierry,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Grossmann,Patricia Daniela,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Nilsson,Carl Greger,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Wenger,David,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Zaugg,Marco,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,OBT AG (CHE-384.364.751),,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Ingellis,Enea Francesco,
Weunity AG,Hardturmstrasse 101,8005,Zürich,,Senoner,Angela Violetta,
wilhelm typo grafisch gmbh,Alte Landstrasse 74,8702,Zollikon,,Wilhelm,Dominic Dennis,
Willynvest Holding AG,Lessingstrasse 15,8002,Zürich,c/o Fischer AG Immobilienmanagement,Tröndle,Luka Noah,
Willynvest Holding AG,Lessingstrasse 15,8002,Zürich,c/o Fischer AG Immobilienmanagement,Peter,Philippe Yves,
Zablotny,Kanalweg 4,8714,Feldbach,,Zablotny,Julia,
Zentrum Verhaltensneurologie Neuropsychologie Zürich GmbH,Seestrasse 19,8002,Zürich,,Wachter Benn,Karen Claudia,
Zentrum Verhaltensneurologie Neuropsychologie Zürich GmbH,Seestrasse 19,8002,Zürich,,Lanz,Marie Louise,
